Site,Artifact Class,Layer,Count,Type
Steenbokfontein,EdgeUtilizedChunk,1,2,Utilized_Retouch
Steenbokfontein,EdgeUtilizedFlake,1,20,Utilized_Retouch
Steenbokfontein,EdgeUtilizedBlade,1,0,Utilized_Retouch
Steenbokfontein,Scrapers,1,2,Utilized_Retouch
Steenbokfontein,BackedScrapers,1,0,Utilized_Retouch
Steenbokfontein,BoatScrapers,1,8,Utilized_Retouch
Steenbokfontein,Segment,1,1,Utilized_Retouch
Steenbokfontein,BackedFlake,1,0,Utilized_Retouch
Steenbokfontein,BackedBlade,1,0,Utilized_Retouch
Steenbokfontein,BackedPoint,1,0,Utilized_Retouch
Steenbokfontein,BackedMisc,1,1,Utilized_Retouch
Steenbokfontein,Adze,1,3,Utilized_Retouch
Steenbokfontein,EdgeUtilizedChunk,2,5,Utilized_Retouch
Steenbokfontein,EdgeUtilizedFlake,2,23,Utilized_Retouch
Steenbokfontein,EdgeUtilizedBlade,2,0,Utilized_Retouch
Steenbokfontein,Scrapers,2,4,Utilized_Retouch
Steenbokfontein,BackedScrapers,2,3,Utilized_Retouch
Steenbokfontein,BoatScrapers,2,3,Utilized_Retouch
Steenbokfontein,Segment,2,0,Utilized_Retouch
Steenbokfontein,BackedFlake,2,0,Utilized_Retouch
Steenbokfontein,BackedBlade,2,0,Utilized_Retouch
Steenbokfontein,BackedPoint,2,0,Utilized_Retouch
Steenbokfontein,BackedMisc,2,2,Utilized_Retouch
Steenbokfontein,Adze,2,2,Utilized_Retouch
Steenbokfontein,EdgeUtilizedChunk,3a,2,Utilized_Retouch
Steenbokfontein,EdgeUtilizedFlake,3a,13,Utilized_Retouch
Steenbokfontein,EdgeUtilizedBlade,3a,1,Utilized_Retouch
Steenbokfontein,Scrapers,3a,8,Utilized_Retouch
Steenbokfontein,BackedScrapers,3a,3,Utilized_Retouch
Steenbokfontein,BoatScrapers,3a,7,Utilized_Retouch
Steenbokfontein,Segment,3a,1,Utilized_Retouch
Steenbokfontein,BackedFlake,3a,0,Utilized_Retouch
Steenbokfontein,BackedBlade,3a,0,Utilized_Retouch
Steenbokfontein,BackedPoint,3a,0,Utilized_Retouch
Steenbokfontein,BackedMisc,3a,4,Utilized_Retouch
Steenbokfontein,Adze,3a,2,Utilized_Retouch
Steenbokfontein,EdgeUtilizedChunk,3b,8,Utilized_Retouch
Steenbokfontein,EdgeUtilizedFlake,3b,86,Utilized_Retouch
Steenbokfontein,EdgeUtilizedBlade,3b,3,Utilized_Retouch
Steenbokfontein,Scrapers,3b,21,Utilized_Retouch
Steenbokfontein,BackedScrapers,3b,1,Utilized_Retouch
Steenbokfontein,BoatScrapers,3b,15,Utilized_Retouch
Steenbokfontein,Segment,3b,0,Utilized_Retouch
Steenbokfontein,BackedFlake,3b,0,Utilized_Retouch
Steenbokfontein,BackedBlade,3b,1,Utilized_Retouch
Steenbokfontein,BackedPoint,3b,1,Utilized_Retouch
Steenbokfontein,BackedMisc,3b,2,Utilized_Retouch
Steenbokfontein,Adze,3b,13,Utilized_Retouch
Steenbokfontein,EdgeUtilizedChunk,4a,7,Utilized_Retouch
Steenbokfontein,EdgeUtilizedFlake,4a,60,Utilized_Retouch
Steenbokfontein,EdgeUtilizedBlade,4a,1,Utilized_Retouch
Steenbokfontein,Scrapers,4a,35,Utilized_Retouch
Steenbokfontein,BackedScrapers,4a,0,Utilized_Retouch
Steenbokfontein,BoatScrapers,4a,2,Utilized_Retouch
Steenbokfontein,Segment,4a,2,Utilized_Retouch
Steenbokfontein,BackedFlake,4a,2,Utilized_Retouch
Steenbokfontein,BackedBlade,4a,0,Utilized_Retouch
Steenbokfontein,BackedPoint,4a,0,Utilized_Retouch
Steenbokfontein,BackedMisc,4a,7,Utilized_Retouch
Steenbokfontein,Adze,4a,3,Utilized_Retouch
Steenbokfontein,EdgeUtilizedChunk,4b,3,Utilized_Retouch
Steenbokfontein,EdgeUtilizedFlake,4b,71,Utilized_Retouch
Steenbokfontein,EdgeUtilizedBlade,4b,3,Utilized_Retouch
Steenbokfontein,Scrapers,4b,39,Utilized_Retouch
Steenbokfontein,BackedScrapers,4b,4,Utilized_Retouch
Steenbokfontein,BoatScrapers,4b,1,Utilized_Retouch
Steenbokfontein,Segment,4b,2,Utilized_Retouch
Steenbokfontein,BackedFlake,4b,1,Utilized_Retouch
Steenbokfontein,BackedBlade,4b,5,Utilized_Retouch
Steenbokfontein,BackedPoint,4b,2,Utilized_Retouch
Steenbokfontein,BackedMisc,4b,9,Utilized_Retouch
Steenbokfontein,Adze,4b,3,Utilized_Retouch
Steenbokfontein,EdgeUtilizedChunk,5,10,Utilized_Retouch
Steenbokfontein,EdgeUtilizedFlake,5,31,Utilized_Retouch
Steenbokfontein,EdgeUtilizedBlade,5,3,Utilized_Retouch
Steenbokfontein,Scrapers,5,18,Utilized_Retouch
Steenbokfontein,BackedScrapers,5,0,Utilized_Retouch
Steenbokfontein,BoatScrapers,5,1,Utilized_Retouch
Steenbokfontein,Segment,5,2,Utilized_Retouch
Steenbokfontein,BackedFlake,5,1,Utilized_Retouch
Steenbokfontein,BackedBlade,5,0,Utilized_Retouch
Steenbokfontein,BackedPoint,5,2,Utilized_Retouch
Steenbokfontein,BackedMisc,5,3,Utilized_Retouch
Steenbokfontein,Adze,5,2,Utilized_Retouch
